6608
blankSpace;0
como;100000000
morte;10000000100
prima;1000000010100
defunta;10000000101010
tristeza;10000000101011
suas;100000001011
porque;10000000110
bem;10000000111
si;10000001000
anos;10000001001
dias;10000001010
coração;100000010110
certo;100000010111
ofício;100000011000
vinha;100000011001
estar;100000011010
Se;100000011011
sono;100000011100
hora;100000011101
ocasião;100000011110
vezes;100000011111
ou;100000100
ela;1000001010
ia;1000001011
pela;10000011000
mesma;10000011001
alguns;10000011010
três;10000011011
Mas;10000011100
rua;10000011101
meu;1000001111
os;10000100
ser;1000010100
vez;1000010101
eu;100001011
tinha;1000011000
fora;10000110010
aos;10000110011
mal;10000110100
ver;10000110101
duas;10000110110
pode;100001101110
passar;100001101111
boca;100001110000
parte;100001110001
lado;100001110010
entrou;100001110011
Mônica;100001110100
meses;100001110101
caso;100001110110
No;100001110111
quis;100001111000
pessoas;100001111001
seguinte;100001111010
Tudo;100001111011
creio;100001111100
impressão;1000011111010
mundo;1000011111011
tinham;1000011111100
quer;1000011111101
escravo;1000011111110
cidade;1000011111111
necessidade;1000100000000
preciso;1000100000001
corda;1000100000010
semanas;1000100000011
casamento;1000100000100
Talvez;1000100000101
embora;1000100000110
alegria;1000100000111
riso;1000100001000
vivia;1000100001001
nosso;1000100001010
memória;1000100001011
primeiros;1000100001100
vê-lo;1000100001101
ouvir;1000100001110
viver;1000100001111
contava;1000100010000
tornou;1000100010001
teve;1000100010010
dormir;1000100010011
voltar;1000100010100
braços;1000100010101
luta;1000100010110
estado;1000100010111
espera;1000100011000
principal;1000100011001
parado;1000100011010
particular;1000100011011
advogado;1000100011100
curiosidade;1000100011101
sensação;1000100011110
nele;1000100011111
posto;1000100100000
espírito;1000100100001
forças;1000100100010
cada;1000100100011
Velho;1000100100100
Antes;1000100100101
disse-lhe;1000100100110
ódio;1000100100111
juntos;1000100101000
pude;1000100101001
resolvi;1000100101010
senti;1000100101011
acabar;1000100101100
fiz;1000100101101
resposta;1000100101110
presidente;1000100101111
explicar;1000100110000
qual;1000100110001
Enfim;1000100110010
janela;1000100110011
idade;1000100110100
Raimunda;1000100110101
princípio;1000100110110
estradas;1000100110111
Camila;1000100111000
dúzia;10001001110010
cá;10001001110011
fortuna;10001001110100
tua;10001001110101
absolvição;10001001110110
pobre;10001001110111
terra;10001001111000
deixa;10001001111001
máscara;10001001111010
perder;10001001111011
esquerda;10001001111100
alto;10001001111101
Eram;10001001111110
entretanto;10001001111111
raro;10001010000000
lho;10001010000001
anúncios;10001010000010
públicas;10001010000011
roupa;10001010000100
anúncio;10001010000101
lei;10001010000110
bastante;10001010000111
pôr;10001010001000
querer;10001010001001
chamou-lhe;10001010001010
armarinho;10001010001011
poucas;10001010001100
saudades;10001010001101
pegava;10001010001110
não;;10001010001111
pedir;10001010010000
amiga;10001010010001
pensar;10001010010010
escassa;10001010010011
ajudava;10001010010100
crianças;10001010010101
como?;10001010010110
vem;10001010010111
sábado;10001010011000
esperança;10001010011001
longas;10001010011010
pedaço;10001010011011
costumes;10001010011100
Havia;10001010011101
numa;10001010011110
deitou-se;10001010011111
aqueles;10001010100000
tempos;10001010100001
recebeu;10001010100010
conselho;10001010100011
natureza;10001010100100
mês;10001010100101
narração;10001010100110
podiam;10001010100111
ouvi-lo;10001010101000
última;10001010101001
levar;10001010101010
esteve;10001010101011
inteiramente;10001010101100
Lá;10001010101101
entrasse;10001010101110
favor;10001010101111
daria;10001010110000
esperar;10001010110001
mais;;10001010110010
diria;10001010110011
faltava;10001010110100
repetiu;10001010110101
consolar;10001010110110
cem;10001010110111
farmacêutico;10001010111000
feliz;10001010111001
haviam;10001010111010
obstante;10001010111011
esconder;10001010111100
mil;10001010111101
mostrou;10001010111110
pequeno;10001010111111
poucos;10001011000000
acima;10001011000001
falta;10001011000010
serei;10001011000011
quiser;10001011000100
quero;10001011000101
loja;10001011000110
Ourives;10001011000111
desta;10001011001000
chegar;10001011001001
enfim;10001011001010
Meu;10001011001011
caiu;10001011001100
após;10001011001101
explicação;10001011001110
Disse;10001011001111
razões;10001011010000
verdadeira;10001011010001
pequena;10001011010010
contos;10001011010011
olhou;10001011010100
aventuras;10001011010101
casada;10001011010110
Está;10001011010111
escritório;10001011011000
ficava;10001011011001
seguiu;10001011011010
pareceu-me;10001011011011
essas;10001011011100
achei-me;10001011011101
liberdade;10001011011110
parou;10001011011111
doutor;10001011100000
direi;10001011100001
mulheres;10001011100010
tornei;10001011100011
acabado;10001011100100
tom;10001011100101
faria;10001011100110
Porto;10001011100111
ânimo;10001011101000
pelos;10001011101001
Vieram;10001011101010
separação;10001011101011
tirar;10001011101100
armas;10001011101101
noite;;10001011101110
fizesse;10001011101111
achar;10001011110000
deixei;10001011110001
finalmente;10001011110010
tornar;10001011110011
maneiras;10001011110100
Entre;10001011110101
estou;10001011110110
estive;10001011110111
quinze;10001011111000
deixo;10001011111001
aberta;10001011111010
legalistas;10001011111011
sorte;10001011111100
realmente;10001011111101
mostrar;10001011111110
instante;10001011111111
motivos;10001100000000
secreta;10001100000001
voluntários;10001100000010
espanto;10001100000011
aceitou;10001100000100
levantar;10001100000101
acabava;10001100000110
entusiasmo;10001100000111
cabeças;10001100001000
fácil;10001100001001
ardor;10001100001010
diferença;10001100001011
motivo;10001100001100
surdo;10001100001101
voltei;10001100001110
alusão;10001100001111
mar;10001100010000
lembrança;10001100010001
luto;10001100010010
pergunta;10001100010011
esperanças;10001100010100
inimigo;10001100010101
cadeira;10001100010110
lábios;10001100010111
Tu;10001100011000
desconhecido;10001100011001
Domingos;10001100011010
Ia;10001100011011
Europa;10001100011100
repente;10001100011101
prazer;10001100011110
dali;10001100011111
gabinete;10001100100000
ar;10001100100001
teimou;10001100100010
bilhete;10001100100011
melancolia;10001100100100
últimas;10001100100101
despediu-se;10001100100110
vencer;10001100100111
sol;10001100101000
Simão;10001100101001
público;10001100101010
íamos;10001100101011
graça;10001100101100
dedos;10001100101101
páginas;10001100101110
Ouvi;10001100101111
filha;10001100110000
colégio;10001100110001
acerca;10001100110010
Minha;10001100110011
chamar;10001100110100
negar;10001100110101
contente;10001100110110
exemplo;10001100110111
morreu;10001100111000
julgar;10001100111001
tribunal;10001100111010
palidez;10001100111011
promotor;10001100111100
Conselho;10001100111101
jurados;10001100111110
processo;10001100111111
Suje-se;10001101000000
gordo!;10001101000001
desvio;10001101000010
Antônio;10001101000011
sorriu;10001101000100
imagina;10001101000101
valor;10001101000110
Tio;10001101000111
concordou;10001101001000
interior;10001101001001
diligência;10001101001010
papéis;10001101001011
abrir;10001101001100
Gonçalves;;10001101001101
parenta;10001101001110
nhã;10001101001111
Pedrinho;10001101010000
terrível;10001101010001
sobrinho;10001101010010
irmãos;10001101010011
Velha;100011010101000
Machado;100011010101001
Assis;100011010101010
Nova;100011010101011
�?NDICE;100011010101100
ADVERTÊNCIA;100011010101101
PAI;100011010101110
CONTRA;100011010101111
MÃE;100011010110000
MARIA;100011010110001
CORA;100011010110010
MARCHA;100011010110011
FÚNEBRE;100011010110100
UM;100011010110101
CAPITÃO;100011010110110
DE;100011010110111
VOLUNT�?RIOS;100011010111000
SUJE-SE;100011010111001
GORDO!;100011010111010
UMAS;100011010111011
FÉRIAS;100011010111100
EVOLUÇÃO;100011010111101
P�?LADES;100011010111110
ORESTES;100011010111111
ANEDOTA;100011011000000
